,date_kotirovki,close,PhysicalLong,PhysicalShort,JuridicalLong,JuridicalShort,putov_summa,PhysicalLong_liza,PhysicalShort_liza,JuridicalLong_liza,JuridicalShort_liza,putov_summa_liza
1971,2020-10-30,79.53,200231,171425,44013,72819,488488,1109,718,28,36,1891
1972,2020-11-02,80.55,224480,183987,46650,87143,542260,1218,728,27,36,2009
1973,2020-11-03,79.345,239109,187706,43673,95076,565564,1236,761,27,36,2060
1974,2020-11-05,77.0,221869,158880,42240,105229,528218,1017,633,24,34,1708
1975,2020-11-06,77.41,235848,171185,41486,106149,554668,1076,716,26,37,1855
1976,2020-11-09,76.28,244794,181589,79309,142514,648206,1048,782,26,38,1894
1977,2020-11-10,76.55,260284,194392,79626,145518,679820,1109,808,26,38,1981
1978,2020-11-11,77.1325,266424,199723,87430,154131,707708,1135,826,26,38,2025
1979,2020-11-12,77.37,241335,174303,85576,152608,653822,988,663,25,34,1710
1980,2020-11-13,77.3875,246337,181150,85535,150722,663744,1057,734,26,33,1850
1981,2020-11-16,76.16,253348,188519,86504,151333,679704,1088,767,28,35,1918
1982,2020-11-17,76.22,259830,192703,86183,153310,692026,1112,803,28,36,1979
1983,2020-11-18,76.06,261736,194315,85129,152550,693730,1142,848,27,36,2053
1984,2020-11-19,76.05,178945,132247,70477,117175,498844,900,590,24,34,1548
1985,2020-11-20,76.2,187356,146612,76808,117552,528328,985,707,25,36,1753
1986,2020-11-23,76.175,196015,154539,77602,119078,547234,1048,745,25,36,1854
1987,2020-11-24,75.48,198917,158143,77686,118460,553206,1079,775,24,36,1914
1988,2020-11-25,75.5625,204952,166153,79530,118329,568964,1094,800,25,35,1954
1989,2020-11-26,75.715,190219,147172,73495,116542,527428,987,665,25,29,1706
1990,2020-11-27,75.8525,197036,153475,73587,117148,541246,1071,738,25,32,1866
1991,2020-11-30,76.39,201981,157540,74523,118964,553008,1103,770,25,33,1931
1992,2020-12-01,75.8475,202685,159649,75861,118897,557092,1102,798,25,33,1958
1993,2020-12-02,75.07,204460,161821,75976,118615,560872,1101,814,27,33,1975
1994,2020-12-03,74.45,203980,158056,78563,124487,565086,964,674,23,33,1694
1995,2020-12-04,74.05,228000,179636,86742,135106,629484,1025,745,22,36,1828
1996,2020-12-07,73.64,230745,184866,89626,135505,640742,1006,752,22,35,1815
1997,2020-12-08,73.505,235645,190593,90444,135496,652178,1020,763,22,35,1840
1998,2020-12-09,73.86,241169,195356,91264,137077,664866,1061,777,24,36,1898
1999,2020-12-10,73.0475,223010,172261,86171,136920,618362,976,687,24,30,1717
2000,2020-12-10,73.0475,223010,172261,86171,136920,618362,976,687,24,30,1717
2001,2020-12-11,72.945,234245,183035,88413,139623,645316,1022,757,22,31,1832
2002,2020-12-14,73.87,235983,185477,88561,139067,649088,1050,773,22,33,1878
2003,2020-12-15,73.3925,239588,189380,89027,139235,657230,1062,764,22,34,1882
2004,2020-12-16,73.3475,241548,191874,89524,139198,662144,1075,768,22,35,1900
2005,2020-12-17,72.8325,97646,58799,18540,57387,232372,573,443,12,16,1044
2006,2020-12-18,73.3475,109389,71544,21113,58958,261004,676,520,13,19,1228
2007,2020-12-21,74.8,129958,92270,24652,62340,309220,792,555,15,18,1380
2008,2020-12-22,75.91,142015,105563,27164,63616,338358,860,582,14,19,1475
2009,2020-12-23,75.08,148298,117039,32000,63259,360596,870,619,14,20,1523
2010,2020-12-24,73.895,118232,83144,24967,60055,286398,682,488,13,19,1202
2011,2020-12-25,74.17,159382,95755,32275,95902,383314,753,586,14,21,1374
2012,2020-12-28,73.77,164788,100786,32667,96669,394910,801,623,14,24,1462
2013,2020-12-29,74.0375,164587,103062,34920,96445,399014,791,644,14,24,1473
2014,2020-12-30,74.415,151602,91212,34814,95204,372832,706,534,13,19,1272
2015,2021-01-04,74.33,158803,100418,37529,95914,392664,766,650,15,22,1453
2016,2021-01-05,74.04,173410,112131,41906,103185,430632,818,675,14,23,1530
2017,2021-01-06,73.9225,161129,98476,37190,99843,396638,730,575,15,20,1340
2018,2021-01-08,74.155,170006,105069,35158,100095,410328,810,648,14,21,1493
2019,2021-01-11,74.66,185379,113899,35257,106737,441272,936,668,15,22,1641
2020,2021-01-12,73.54,187488,121827,40991,106652,456958,890,735,16,23,1664
2021,2021-01-13,73.7475,196281,127728,100392,168945,593346,922,763,17,25,1727
2022,2021-01-14,73.21,184153,114975,98345,167523,564996,846,640,17,24,1527
2023,2021-01-15,73.645,197879,125793,97645,169731,591048,919,691,18,26,1654
2024,2021-01-18,73.995,207964,131420,94288,170832,604504,976,717,18,27,1738
2025,2021-01-19,73.68,211536,134238,95325,172623,613722,980,760,19,28,1787
2026,2021-01-20,73.52,224145,142962,96708,177891,641706,998,774,19,28,1819
2027,2021-01-21,73.845,123606,71060,77545,130091,402302,740,523,17,22,1302
2028,2021-01-22,75.3,142693,87699,71835,126829,429056,957,603,18,24,1602
2029,2021-01-25,75.3675,161329,101923,71704,131110,466066,1053,642,18,25,1738
2030,2021-01-26,75.085,171561,110892,72735,133404,488592,1089,669,18,25,1801
2031,2021-01-27,75.85,178732,118641,73506,133597,504476,1153,682,19,25,1879
2032,2021-01-28,75.9575,168698,102161,75152,141689,487700,999,544,16,20,1579
2033,2021-01-29,75.755,182225,115126,75696,142795,515842,1058,672,16,22,1768
2034,2021-02-01,76.1475,186869,119667,77020,144222,527778,1135,705,17,22,1879
2035,2021-02-02,76.225,196172,127690,77466,145948,547276,1173,749,17,22,1961
2036,2021-02-03,75.9275,201488,133475,77648,145661,558272,1200,773,17,23,2013
2037,2021-02-04,75.505,187775,123507,76451,140719,528452,1034,619,19,22,1694
2038,2021-02-05,74.645,198524,131803,77522,144243,552092,1023,776,21,25,1845
2039,2021-02-08,74.3,205970,139165,78380,145185,568700,1073,819,20,25,1937
2040,2021-02-09,73.8875,217393,148236,79608,148765,594002,1047,837,19,26,1929
2041,2021-02-10,73.945,222987,152716,80405,150676,606784,1059,872,19,28,1978
2042,2021-02-11,73.605,202779,135428,78950,146301,563458,962,684,15,25,1686
2043,2021-02-12,73.7175,208765,140347,79384,147802,576298,1037,755,16,27,1835
2044,2021-02-15,73.325,217340,148903,79976,148413,594632,1066,794,15,27,1902
2045,2021-02-16,73.64,220223,152512,81622,149333,603690,1097,810,16,28,1951
2046,2021-02-17,73.71,229166,158739,81802,152229,621936,1117,806,17,28,1968
2047,2021-02-18,73.91,172056,106702,72976,138330,490064,868,559,16,22,1465
2048,2021-02-19,74.125,184537,115945,73633,142225,516340,934,689,16,26,1665
2049,2021-02-20,74.08,188360,121268,75491,142583,527702,954,707,16,26,1703
2050,2021-02-22,74.3,197244,126651,76627,147220,547742,993,709,16,26,1744
2051,2021-02-24,73.54,211305,138421,76526,149410,575662,1002,761,15,28,1806
2052,2021-02-25,74.75,196304,122116,73919,148107,540446,928,619,15,25,1587
2053,2021-02-26,74.63,211720,136174,74469,150015,572378,1041,698,17,29,1785
2054,2021-03-01,74.165,216418,142821,77194,150791,587224,1051,750,17,29,1847
2055,2021-03-02,73.81,219629,149303,80227,150553,599712,1063,798,21,30,1912
2056,2021-03-03,73.97,227527,153618,80094,154003,615242,1116,817,20,30,1983
2057,2021-03-04,74.7,229023,138345,81351,172029,620748,954,683,18,28,1683
2058,2021-03-05,74.2025,243576,151952,82038,173662,651228,1060,740,18,29,1847
2059,2021-03-09,73.915,260843,168680,83115,175278,687916,1100,795,18,27,1940
2060,2021-03-10,73.6025,264943,174898,84693,174738,699272,1099,824,18,28,1969
2061,2021-03-11,73.3,246037,156143,83663,173557,659400,1004,709,18,26,1757
2062,2021-03-12,73.33,255366,168617,92084,178833,694900,1135,785,19,30,1969
2063,2021-03-15,72.805,269425,176511,87610,180524,714070,1169,808,20,30,2027
2064,2021-03-16,72.85,275151,181199,88713,182665,727728,1151,832,21,30,2034
2065,2021-03-17,73.64,299916,192803,87886,194999,775604,1184,797,21,32,2034
2066,2021-03-18,74.3025,126565,74070,6246,58741,265622,693,479,15,23,1210
2067,2021-03-19,74.115,139509,86242,6956,60223,292930,823,618,15,28,1484
2068,2021-03-22,74.94,151374,95386,31476,87464,365700,947,633,17,29,1626
2069,2021-03-23,76.39,194946,127474,35523,102995,460938,1132,650,24,33,1839
2070,2021-03-24,76.5775,218014,143677,37247,111584,510522,1228,687,26,34,1975
2071,2021-03-25,76.21,180091,106648,33808,107251,427798,1000,551,28,30,1609
2072,2021-03-26,75.655,197684,121563,35844,111965,467056,1106,684,29,32,1851
2073,2021-03-29,75.68,206254,131216,37513,112551,487534,1153,723,29,32,1937
2074,2021-03-30,75.85,209890,134501,40122,115511,500024,1173,739,28,31,1971
2075,2021-03-31,75.69,216202,143597,42913,115518,518230,1117,783,29,32,1961
2076,2021-04-01,76.2575,198503,117517,39588,120574,476182,1043,597,27,28,1695
2077,2021-04-02,76.5525,205929,125078,39551,120402,490960,1109,700,27,32,1868
2078,2021-04-05,76.39,213538,132308,42128,123358,511332,1139,753,27,32,1951
2079,2021-04-06,77.265,228273,139332,43898,132839,544342,1216,762,27,35,2040
2080,2021-04-07,76.98,252264,158838,50176,143602,604880,1297,780,28,36,2141
2081,2021-04-08,76.855,233866,142949,50468,141385,568668,1154,651,28,32,1865
2082,2021-04-09,77.395,252213,158337,50082,143958,604590,1271,733,29,38,2071
2083,2021-04-12,77.385,260128,169351,50445,141222,621146,1319,769,30,37,2155
2084,2021-04-13,75.94,258979,170379,51541,140141,621040,1231,802,28,40,2101
2085,2021-04-14,75.87,261993,177066,53878,138805,631742,1171,847,28,41,2087
2086,2021-04-15,76.325,177033,100544,39420,115909,432906,805,593,19,28,1445
2087,2021-04-16,75.8175,193622,117277,43113,119458,473470,880,728,18,34,1660
2088,2021-04-19,76.35,206775,121964,41945,126756,497440,994,746,18,34,1792
2089,2021-04-20,76.83,214859,129033,42239,128065,514196,1074,758,19,35,1886
2090,2021-04-21,76.6,220626,135787,42595,127434,526442,1102,780,18,34,1934
2091,2021-04-22,75.4175,193387,115050,43820,122157,474414,816,649,18,29,1512
2092,2021-04-23,74.98,208376,133483,49231,124124,515214,869,790,17,35,1711
2093,2021-04-26,74.97,212609,138665,50518,124462,526254,915,821,17,35,1788
2094,2021-04-27,74.89,215371,139483,50660,126548,532062,961,843,17,35,1856
2095,2021-04-28,74.4125,220135,142658,51909,129386,544088,985,868,18,35,1906
2096,2021-04-29,74.635,208623,131931,50068,126760,517382,834,718,17,29,1598
2097,2021-04-30,75.21,218366,141022,49572,126916,535876,911,818,17,36,1782
2098,2021-05-04,74.8425,221952,145055,49726,126623,543356,947,835,18,36,1836
2099,2021-05-05,74.86,224894,147209,49206,126891,548200,956,835,18,37,1846
