,date_kotirovki,close,PhysicalLong,PhysicalShort,JuridicalLong,JuridicalShort,putov_summa,PhysicalLong_liza,PhysicalShort_liza,JuridicalLong_liza,JuridicalShort_liza,putov_summa_liza
212,2013-11-07,32.429,250443,136445,49447,163445,599780,665,569,98,98,1430
213,2013-11-08,32.6365,250440,137227,50431,163644,601742,681,574,94,98,1447
214,2013-11-11,32.796,250707,138419,50701,162989,602816,679,586,92,99,1456
215,2013-11-12,32.8905,250429,141603,56807,165633,614472,657,605,99,99,1460
216,2013-11-13,32.736,250486,142249,57499,165736,615970,659,614,98,100,1471
217,2013-11-14,32.66,250817,142029,57434,166222,616502,664,619,99,100,1482
218,2013-11-15,32.589,239022,132501,55271,161792,588586,541,459,88,90,1178
219,2013-11-18,32.575,240294,133530,57414,164178,595416,562,470,88,87,1207
220,2013-11-19,32.746,241061,134742,57980,164299,598082,572,485,91,88,1236
221,2013-11-20,32.9335,242460,134270,57226,165416,599372,575,486,90,90,1241
222,2013-11-21,32.992,243733,137015,58783,165501,605032,580,504,90,86,1260
223,2013-11-22,32.7555,243799,137912,59442,165329,606482,592,500,95,85,1272
224,2013-11-25,32.934,244136,137941,59601,165796,607474,598,506,99,89,1292
225,2013-11-26,32.9405,244128,138617,59847,165358,607950,594,512,99,89,1294
226,2013-11-27,33.18,244649,138901,60105,165853,609508,593,514,100,89,1296
227,2013-11-28,33.148,246604,140682,60529,166451,614266,602,523,102,89,1316
228,2013-11-29,33.1555,252994,150719,60736,163011,627460,616,533,101,91,1341
229,2013-12-02,33.2395,254945,152092,61336,164189,632562,620,547,100,94,1361
230,2013-12-03,33.2685,254658,152294,61411,163775,632138,614,553,99,93,1359
231,2013-12-04,33.1815,256516,152352,60479,164643,633990,604,560,100,93,1357
232,2013-12-05,32.9855,256051,154290,63463,165224,639028,607,575,105,95,1382
233,2013-12-06,32.7,256894,155962,65735,166667,645258,616,586,109,96,1407
234,2013-12-09,32.7525,258349,156419,65627,167557,647952,632,610,110,94,1446
235,2013-12-10,32.7005,263482,157111,60692,167063,648348,641,594,111,94,1440
236,2013-12-11,32.778,266648,156691,60970,170927,655236,651,583,107,93,1434
237,2013-12-12,32.7915,262511,155698,60439,167252,645900,646,580,107,93,1426
238,2013-12-13,32.8505,260322,156342,59114,163094,638872,641,583,105,95,1424
239,2013-12-16,32.9025,16354,12137,7146,11363,47000,139,124,18,26,307
240,2013-12-17,32.9695,24211,61723,115394,77882,279210,178,175,25,30,408
241,2013-12-18,32.814,26249,62254,125698,89693,303894,209,198,29,35,471
242,2013-12-19,32.99,28571,64968,126509,90112,310160,235,226,33,35,529
243,2013-12-20,32.98,31028,70870,130100,90258,322256,247,238,35,35,555
244,2013-12-23,32.661,31412,72444,130388,89356,323600,267,261,38,34,600
245,2013-12-24,32.64,35337,74248,130390,91479,331454,292,289,40,34,655
246,2013-12-25,32.6905,36914,75839,130516,91591,334860,302,296,41,36,675
247,2013-12-26,32.6665,37361,76191,130519,91689,335760,312,301,42,36,691
248,2013-12-27,32.5945,39795,78542,130623,91876,340836,340,315,42,34,731
249,2013-12-30,32.835,41658,80626,134758,95790,352832,349,324,47,36,756
250,2014-01-06,33.2125,45943,90432,141434,96945,374754,358,344,53,38,793
251,2014-01-08,33.1935,46670,92499,142764,96935,378868,371,364,52,41,828
252,2014-01-09,33.234,48554,95004,193387,146937,483882,379,380,55,44,858
253,2014-01-10,33.027,54854,89850,200746,165750,511200,383,392,54,47,876
254,2014-01-13,33.2825,54202,89873,201532,165861,511468,384,406,53,48,891
255,2014-01-14,33.302,54083,89440,201360,166003,510886,380,416,52,51,899
256,2014-01-15,33.4,43857,68515,190614,165956,468942,272,281,47,50,650
257,2014-01-16,33.4125,42543,76096,200428,166875,485942,304,323,62,55,744
258,2014-01-17,33.5905,44085,83129,206291,167247,500752,314,350,64,58,786
259,2014-01-20,33.768,46681,85890,206945,167736,507252,332,398,67,67,864
260,2014-01-21,33.935,52119,84750,180399,147768,465036,360,459,71,76,966
261,2014-01-22,33.9305,53154,84373,180171,148952,466650,371,469,69,86,995
262,2014-01-23,34.115,55500,88610,181969,148859,474938,392,534,72,88,1086
263,2014-01-24,34.527,66313,100778,139567,105102,411760,457,617,84,94,1252
264,2014-01-27,34.69,67189,110513,135003,91679,404384,484,650,103,109,1346
265,2014-01-28,34.742,71589,112988,135829,94430,414836,487,690,108,114,1399
266,2014-01-29,35.1305,77649,98971,145531,124209,446360,509,741,114,118,1482
267,2014-01-30,34.905,86021,98642,148352,135731,468746,588,792,116,134,1630
268,2014-01-31,35.196,85929,101072,150760,135617,473378,584,837,125,140,1686
269,2014-02-03,35.44,86958,100638,150339,136659,474594,610,860,125,143,1738
270,2014-02-04,35.003,90166,103922,150252,136496,480836,640,888,130,148,1806
271,2014-02-05,34.898,87822,105709,151156,133269,477956,657,893,133,149,1832
272,2014-02-06,34.694,87852,109844,150569,128577,476842,674,910,132,149,1865
273,2014-02-07,34.7685,89229,115480,152163,125912,482784,706,928,134,156,1924
274,2014-02-10,34.76,89507,116173,151446,124780,481906,712,936,137,156,1941
275,2014-02-11,34.7525,90017,119997,152605,122625,485244,722,950,137,158,1967
276,2014-02-12,34.831,91444,120338,153356,124462,489600,730,948,140,151,1969
277,2014-02-13,35.1495,97152,122841,153875,128186,502054,754,970,135,151,2010
278,2014-02-14,35.08,97876,122827,155146,130195,506044,772,971,138,151,2032
279,2014-02-17,35.2195,79064,105159,148830,122735,455788,546,668,107,116,1437
280,2014-02-18,35.4115,80265,112979,151690,118976,463910,572,716,109,118,1515
281,2014-02-19,35.795,81096,118339,156484,119241,475160,598,788,115,133,1634
282,2014-02-20,35.775,82560,117958,156819,121421,478758,623,801,122,144,1690
283,2014-02-21,35.489,86402,120133,157629,123898,488062,639,812,124,151,1726
284,2014-02-24,35.483,87329,122944,159762,124147,494182,668,826,127,149,1770
285,2014-02-25,35.705,91043,126959,166580,130664,515246,661,840,131,134,1766
286,2014-02-26,36.0195,92594,126779,167890,133705,520968,679,860,129,149,1817
287,2014-02-27,36.036,91411,127444,169919,133886,522660,685,877,133,158,1853
