,date_kotirovki,close,PhysicalLong,PhysicalShort,JuridicalLong,JuridicalShort,putov_summa,PhysicalLong_liza,PhysicalShort_liza,JuridicalLong_liza,JuridicalShort_liza,putov_summa_liza
2088,2021-04-19,76.35,600674,422263,847007,1025418,2895362,13666,8712,238,146,22762
2089,2021-04-20,76.83,681418,500307,823298,1004409,3009432,15763,8001,264,128,24156
2090,2021-04-21,76.6,549028,477330,822012,893710,2742080,13320,8273,233,144,21970
2091,2021-04-22,75.4175,618152,543553,771057,845656,2778418,12931,11227,214,177,24549
2092,2021-04-23,74.98,683742,482543,750688,951887,2868860,14586,10570,221,174,25551
2093,2021-04-26,74.97,686025,410427,712969,988567,2797988,15242,8783,230,160,24415
2094,2021-04-27,74.89,700979,388222,657048,969805,2716054,16045,8569,227,162,25003
2095,2021-04-28,74.4125,748745,568580,711818,891983,2921126,15984,10498,223,193,26898
2096,2021-04-29,74.635,793948,448713,616930,962165,2821756,16702,9606,243,160,26711
2097,2021-04-30,75.21,888765,317340,673589,1245014,3124708,21116,5077,279,116,26588
2098,2021-05-04,74.8425,695758,348127,657994,1005625,2707504,17469,5515,243,148,23375
2099,2021-05-05,74.86,693539,479903,703506,917142,2794090,17560,8433,239,160,26392
2100,2021-05-06,74.23,755274,536101,668468,887641,2847484,17210,9508,223,182,27123
2101,2021-05-07,73.785,831749,503124,632722,961347,2928942,17466,8844,228,177,26715
2102,2021-05-10,74.35,782311,348913,613106,1046504,2790834,18639,6696,243,150,25728
2103,2021-05-11,74.11,791411,327975,591377,1054813,2765576,18777,6483,237,157,25654
2104,2021-05-12,74.63,914962,353917,593775,1154820,3017474,21406,5463,267,131,27267
2105,2021-05-13,74.0775,805870,412351,663574,1057093,2938888,18436,8062,230,169,26897
2106,2021-05-14,74.0125,829692,368662,583926,1044956,2827236,18051,7063,223,190,25527
2107,2021-05-17,73.8,876726,373302,595151,1098575,2943754,18598,6628,246,165,25637
2108,2021-05-18,73.7,874936,469365,604606,1010177,2959084,19325,8802,241,174,28542
2109,2021-05-19,73.79,941755,301718,620884,1260921,3125278,20147,6857,251,161,27416
2110,2021-05-20,73.53,942731,483553,671856,1131034,3229174,19393,9223,248,166,29030
2111,2021-05-21,73.5975,944726,491003,738464,1192187,3366380,19923,8581,247,163,28914
2112,2021-05-24,73.4925,1032401,265823,664906,1431484,3394614,22180,4122,289,117,26708
2113,2021-05-25,73.5,977191,371564,707361,1312988,3369104,19917,6414,255,168,26754
2114,2021-05-26,73.51,1045869,305126,654914,1395657,3401566,20929,5559,274,143,26905
2115,2021-05-27,73.465,949694,366157,754163,1337700,3407714,19992,6470,248,173,26883
2116,2021-05-28,73.15,1046048,412015,715966,1349999,3524028,21264,7625,246,174,29309
2117,2021-05-31,73.43,989232,322940,716500,1382792,3411464,20593,6258,254,153,27258
2118,2021-06-01,73.5075,1056397,334778,635913,1357532,3384620,21940,5609,260,145,27954
2119,2021-06-02,73.16,1003672,398852,710850,1315670,3429044,20732,6107,241,168,27248
2120,2021-06-03,73.24,970241,369409,712185,1313017,3364852,20455,6766,232,164,27617
2121,2021-06-04,72.795,1034547,475723,798103,1356927,3665300,20775,8010,236,162,29183
2122,2021-06-07,72.81,965120,383512,780822,1362430,3491884,20390,6752,240,154,27536
2123,2021-06-08,72.3,1039717,509727,860139,1390129,3799712,20635,8393,236,167,29431
2124,2021-06-09,72.305,954418,386169,810683,1378932,3530202,20092,6910,250,155,27407
2125,2021-06-10,71.77,1010278,461836,893121,1441563,3806798,19941,8639,240,170,28990
2126,2021-06-11,72.13,967106,323708,819743,1463141,3573698,19575,6693,250,171,26689
2127,2021-06-14,72.1025,999505,301473,775680,1473712,3550370,21200,5983,252,162,27597
2128,2021-06-15,72.18,957935,317947,799341,1439329,3514552,19836,5868,253,139,26096
2129,2021-06-16,72.5625,922909,393454,808224,1337679,3462266,19288,7212,243,167,26910
2130,2021-06-17,72.3225,707380,303664,513653,917369,2442066,15720,5480,201,125,21526
2131,2021-06-18,72.85,796174,314516,527852,1009510,2648052,18284,5009,218,122,23633
2132,2021-06-21,73.1325,786512,298366,552852,1040998,2678728,19938,4342,224,125,24629
2133,2021-06-22,72.875,730223,307872,606832,1029183,2674110,18757,4532,233,121,23643
2134,2021-06-23,72.6075,721306,473834,743576,991048,2929764,16904,8684,204,165,25957
2135,2021-06-24,72.305,788232,456321,694556,1026467,2965576,18216,8410,211,167,27004
2136,2021-06-25,72.2025,796416,394559,685755,1087612,2964342,18377,8002,212,164,26755
2137,2021-06-28,72.1175,824811,301542,616683,1139952,2882988,19455,5709,228,150,25542
2138,2021-06-29,72.76,981645,325612,640447,1296480,3244184,21290,5603,253,139,27285
2139,2021-06-30,73.135,888669,319129,682109,1251649,3141556,21533,4600,257,129,26519
2140,2021-07-01,73.4,858391,346784,732755,1244362,3182292,20829,5107,259,130,26325
2141,2021-07-02,73.24,729050,318273,838567,1249344,3135234,19491,4829,232,150,24702
2142,2021-07-05,73.46,743560,329870,823616,1237306,3134352,19861,5203,252,135,25451
2143,2021-07-06,74.4225,775518,434084,922710,1264144,3396456,19087,5893,258,111,25349
2144,2021-07-07,74.7125,718110,473229,973703,1218584,3383626,17219,6231,266,116,23832
2145,2021-07-08,74.7375,660846,472273,1011168,1199741,3344028,16460,7010,240,129,23839
2146,2021-07-09,74.36,634430,510559,1037018,1160889,3342896,15165,8460,215,161,24001
2147,2021-07-12,74.44,609803,435290,1027185,1201698,3273976,15362,6642,221,151,22376
2148,2021-07-13,74.295,612023,451626,987450,1147847,3198946,13697,10425,209,166,24497
2149,2021-07-14,74.075,598848,430305,1000233,1168776,3198162,14042,8519,218,164,22943
